"seqnames","start","end","width","strand","Conc","Conc_DIA12","Conc_DIA0","Fold","p.value","FDR","Name"
22,50800805,50801205,401,"*",8.23546892747311,9.09576810790373,5.79782814370714,3.26819554416069,3.31591014652581e-51,8.91316647386137e-48,"ATAC_seq1"
22,20025368,20025768,401,"*",7.4768501027066,8.40780730575625,4.05733472241393,4.2695753684403,4.79548688295654e-42,6.44513437069358e-39,"ATAC_seq2"
22,50469784,50470184,401,"*",7.2617434665604,2.9466179875306,8.22504274201746,-5.1393054201362,2.73990114570471e-40,2.45495142655142e-37,"ATAC_seq3"
22,37633654,37634054,401,"*",7.18365787567811,2.9466179875306,8.14488832433037,-5.05953169099063,1.0321264449227e-38,6.93588970988052e-36,"ATAC_seq4"
22,19932580,19932980,401,"*",7.31691311078316,8.2037258592278,4.58870647908707,3.56674548114455,2.84727205286021e-36,1.53069345561765e-33,"ATAC_seq5"
22,40683040,40683440,401,"*",6.89450931385498,3.10828316085793,7.84125337309742,-4.61023478873158,2.24590604719273e-33,1.00616590914235e-30,"ATAC_seq6"
22,37696691,37697091,401,"*",7.29962503438085,5.16277082885305,8.12551236754081,-2.92844641599862,4.71167766714908e-33,1.80928422418525e-30,"ATAC_seq7"
22,50786935,50787335,401,"*",7.25897789247284,5.06818554926201,8.0916402136832,-2.98718997230212,8.24156337314961e-33,2.76916529337827e-30,"ATAC_seq8"
22,30881448,30881848,401,"*",6.93272556988986,7.86495472787881,3.48701492766702,4.27499463864871,3.84722903888486e-30,1.14903907294695e-27,"ATAC_seq9"
22,17824466,17824866,401,"*",6.92657993488833,7.84487491376252,3.7437223994574,4.01041283910932,1.00380568735963e-29,2.69822968762268e-27,"ATAC_seq10"
22,23894111,23894511,401,"*",7.58531283617816,5.9472698120966,8.33266413887207,-2.36294186710663,4.00386532118784e-29,9.78399089395719e-27,"ATAC_seq11"
22,37307013,37307413,401,"*",6.751942549536,2.4472111941424,7.71497302480635,-5.07502905556017,9.08594446568165e-29,2.03525156031269e-26,"ATAC_seq12"
22,32203251,32203651,401,"*",6.85530207834839,7.78370066552122,3.48701492766702,4.19121048611806,4.65106370872529e-28,9.61696865311814e-26,"ATAC_seq13"
22,23460709,23461109,401,"*",6.52156620971423,2.9466179875306,7.45972868081163,-4.37591215123495,1.46169464978894e-26,2.80645372759477e-24,"ATAC_seq14"
22,36862231,36862631,401,"*",6.80028654501203,1.86086555805214,7.77658408864407,-5.62325211295538,1.6437356030922e-26,2.94557420074123e-24,"ATAC_seq15"
22,37677091,37677491,401,"*",6.60890437790532,3.81349866860361,7.50106589132911,-3.60875295764245,2.56223089531787e-26,4.30454790413401e-24,"ATAC_seq16"
22,21942492,21942892,401,"*",7.05765244292855,1.4462892512492,8.04282089896746,-6.19361764798279,3.2796759738086e-26,5.18574648093971e-24,"ATAC_seq17"
22,19397025,19397425,401,"*",6.81452889803038,7.7072985743764,4.01126428133138,3.61352400967484,1.00301812291931e-25,1.49687993337025e-23,"ATAC_seq18"
22,19576930,19577330,401,"*",6.74961104837901,1.8594810953759,7.72507773858044,-5.56889947805085,1.09239488485914e-25,1.49687993337025e-23,"ATAC_seq19"
